Height_Setbacks,POPs,Waterfronts,LSGD,FRESH,Column1
Sky Exposure Plane,New POP,WPAA Certification,Single Zoning Lot,Fresh Certification,
Midtown Daylight Rules,Design Change to Existing POP,WPAA Certification with DEC Wetlands,Multi Zoning Lot,Fresh with Authorization,
Height Limit Waivers,MOD,No-WPAA Certification,Existing Buildings,,
Setback Waivers,,Zoning Lot Subdivision Certification,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
, ,,,,
